,Title,Link,Price,Image,Year,Brand,Location,Kms Covered,Fuel Type,Type,Region Info
22,2020 Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2020-cars-new-delhi-10588069738/,663000.0,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/e371e2e8-0343-11f1-bd51-02ede2007fbe/d5b2a140-5033-4839-bb9a-dd4e510c2623/1657a09b-d4f7-4769-a7be-40c8fb7d1375/e785fedd-b0cc-4353-a179-da8ce85a1d4e/slot/camera-SRP.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2020,Maruti,"Metro Walk, Rohini, New Delhi",53042,Petrol,Automatic,DL-1C
23,2020 Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2020-cars-new-delhi-10050861722/,635000.0,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/75ea8170-16f9-11f1-bd51-02ede2007fbe/m/e186af6f-32d4-4d0c-8325-1e688e066a34/dd576380-d2d9-4efd-ba7b-442a7c617c51/ca62913d-5536-455e-b7bd-50dc82680ee7/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2020,Maruti,Rajouri Garden,44683,Petrol,Automatic,DL-2C
24,2021 Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2021-cars-noida-10169329741/,614000.0,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/f3626a08-1917-11f1-bd51-02ede2007fbe/7af18a31-a6a1-4868-9d53-f26db601aa4d/b9be2ba5-7486-47e0-8659-195fa4c3b069/ba4e5e3e-0dc9-439c-a809-42e5814d73b9/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2021,Maruti,"Gaur City mall, Multilevel parking, Greater Noida",63143,Petrol,Manual,UP-16
25,2017 Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2017-cars-new-delhi-10057668705/,493000.0,"https://marketplace-cdn.cars24.com/production/10057668705/main image/2026-03-06/car_replace_bg_6957e382-6c98-4e2e-9569-9fa0889ab0a6.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2017,Maruti,Mansarover garden Delhi,83518,Diesel,Manual,DL-2C
26,2017 Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2017-cars-new-delhi-10026964748/,443000.0,"https://marketplace-cdn.cars24.com/production/10026964748/main image/2026-03-06/car_replace_bg_a4ee9b00-d75c-4e42-a633-f8cff628a68c.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2017,Maruti,Zeta I Greater Noida Uttar Pradesh,47190,Diesel,Manual,JH-09
27,2018 Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2018-cars-gurgaon-10168866734/,424000.0,"https://marketplace-cdn.cars24.com/visio/prod/10168866734/mainimage/FrontRightSide-Transparent/shadowBackground/1772773391669IJIKFO.webp?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2018,Maruti,131 Lotus inn Gurgaon,49760,Diesel,Manual,HR-76
28,2019 Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2019-cars-faridabad-11071165706/,484000.0,"https://marketplace-cdn.cars24.com/visio/prod/11071165706/mainimage/FrontRightSide-Transparent/shadowBackground/17728762577848SVJKE.webp?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2019,Maruti,Sector 42 Faridabad Haryana,114577,Diesel,Manual,DL-6C
29,2021 Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2021-cars-new-delhi-10029165706/,531000.0,"https://marketplace-cdn.cars24.com/production/10029165706/main image/2026-03-07/car_replace_bg_f0c8478e-a53e-4026-aa5e-9acafef66cda.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2021,Maruti,Alipur New Delhi Delhi,40655,Petrol,Manual,DL-9C
30,2019 Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2019-cars-new-delhi-10097960702/,498000.00000000006,"https://marketplace-cdn.cars24.com/production/10097960702/main image/2026-03-07/car_replace_bg_1eb710da-13f6-4ab1-9533-29bad3225085.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2019,Maruti,Shahdara New Delhi Delhi,52727,Diesel,Manual,DL-9C
31,2019 Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2019-cars-new-delhi-10039060704/,517000.0,"https://marketplace-cdn.cars24.com/production/10039060704/main image/2026-03-06/car_replace_bg_09872c82-4f57-45c5-bae6-1f2867f498b1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",2019,Maruti,Din Appartment sec -4 Dwarka Din Appartment sec -4 Dwarka New Delhi,61627,Diesel,Manual,HR-26
