,Title,Link,Price,Image,Year,Brand,Location,Kms Covered,Fuel Type,Type
1210,2017 Honda City i VTEC V,https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-v-cars-New-Delhi_1346e7fa-7ee6-4940-8fad-70be012976a3.htm,525000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Honda,"Lajpat Nagar, New Delhi",77000.0,Petrol,Manual
1211,2012 Honda Jazz S,https://www.cardekho.com/used-car-details/used-Honda-jazz-s-cars-New-Delhi_334cf13c-c761-4ad4-bf55-5a32921a089f.htm?adId=22633&adType=41,155000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2012,Honda,"Vikaspuri, New Delhi",65000.0,Petrol,Manual
1212,2018 Honda Jazz 1.2 V i VTEC,https://www.cardekho.com/used-car-details/used-Honda-jazz-12-v-i-vtec-cars-New-Delhi_7ff0ddcb-968f-4b4f-bc0b-ddb35e6da69e.htm,440000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Honda,"Defence Colony, New Delhi",31000.0,Petrol,Manual
1213,2018 Honda CR-V 2.0L 2WD AT,https://www.cardekho.com/used-car-details/used-Honda-cr-v-20l-2wd-at-cars-New-Delhi_e37ef65a-133b-4363-aa03-e2e8fd1f705a.htm,985000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Honda,"Defence Colony, New Delhi",137000.0,Petrol,Automatic
1214,2019 Honda City i-VTEC CVT V,https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-cvt-v-cars-Faridabad_216f055f-81d8-4890-87a4-1add21cf97f5.htm,725000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2019,Honda,"City, Faridabad",64000.0,Petrol,Automatic
1215,2012 Honda Brio S MT,https://www.cardekho.com/used-car-details/used-Honda-brio-s-mt-cars-Noida_4509bc9d-0fd0-44ad-8b35-03503fdbc87c.htm?adId=22560&adType=41,165000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2012,Honda,"Sector 16, Noida",62000.0,Petrol,Manual
1216,2014 Honda City i VTEC CVT VX,https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-cvt-vx-cars-New-Delhi_ce2689b9-82e7-45a4-a054-6365bb6ad138.htm,425000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2014,Honda,"Shakti Nagar, New Delhi",72000.0,Petrol,Automatic
1217,2016 Honda City i VTEC V,https://www.cardekho.com/buy-used-car-details/used-Honda-city-i-vtec-v-cars-Noida_357e6646-a23e-442a-8106-7dd179fc28a6.htm,351000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2016,Honda,"Sector 18, Noida",105691.0,Petrol,Manual
1218,2015 Honda City i VTEC VX,https://www.cardekho.com/buy-used-car-details/used-Honda-city-i-vtec-vx-cars-Noida_58d63521-d142-4e85-9a4e-5e661348c9d1.htm,326000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2015,Honda,"Sector 18, Noida",100705.0,Petrol,Manual
1219,2017 Honda WR-V i-DTEC VX,https://www.cardekho.com/used-car-details/used-Honda-wr-v-i-dtec-vx-cars-New-Delhi_56da275c-a0d4-4402-afb4-84a661c38490.htm?adId=21854&adType=41,350000.0,https://images10.gaadi.com/usedcar_image/5139008/original/processed_24270edf9b3c61c4a0f8aca95a669799.jpg?imwidth=640,2017,Honda,"Aruna Nagar, New Delhi",56000.0,Diesel,Manual
1220,2016 Honda City i VTEC V,https://www.cardekho.com/buy-used-car-details/used-Honda-city-i-vtec-v-cars-Noida_357e6646-a23e-442a-8106-7dd179fc28a6.htm,351000.0,https://images10.gaadi.com/usedcar_image/5117905/original/9a6a6adba0cbd7e48bd2fd051e4af71e.jpg?imwidth=640,2016,Honda,"Sector 18, Noida",105691.0,Petrol,Manual
