,Title,Link,Location,Price,Image,Fuel Type,Type,Year,Kms Covered,Brand,Exterior Color,Interior Color,Registration,Ownership,price_display,Platform
285,2024/25 BMW X5 40I M SPORTS,https://fusioncars.in/cars/2019-bmw-x4-xdrive-20d-m-sports/,,9000000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2025.0,13000.0,,,,,,"₹90,00,000",fusioncars.in
286,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,https://fusioncars.in/cars/2019-mercedes-benz-gla-200/,,9800000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2026.0,5000.0,,,,,,"₹98,00,000",fusioncars.in
287,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,https://fusioncars.in/cars/2018-19-mercedes-benz-cla-200d-3/,,9800000.0,https://fusioncars.in/wp-content/themes/Fusion%20Cars/assets/images/header_logo.png,Petrol,,2026.0,5000.0,,,,,,"₹98,00,000",fusioncars.in
288,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,https://fusioncars.in/cars/2016-mercedes-benz-c-200/,,9800000.0,https://fusioncars.in/wp-content/themes/Fusion%20Cars/assets/images/header_logo.png,Petrol,,2026.0,5000.0,,,,,,"₹98,00,000",fusioncars.in
289,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,https://fusioncars.in/cars/2021-22-mercedes-benz-c300-cabriolet/,,9800000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2026.0,5000.0,,,,,,"₹98,00,000",fusioncars.in
290,2018/20 PORSCHE 718 BOXSTER,https://fusioncars.in/cars/2019-porsche-boxster-718-2/,,8100000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2020.0,19000.0,,,,,,"₹81,00,000",fusioncars.in
291,2021 KIA CARNIVAL D2.28 AT LIMOUSINE 7,https://fusioncars.in/cars/2023-kia-carnival-d2-28-at-prestige-7-str/,,3350000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Diesel,,2021.0,31000.0,,,,,,"₹33,50,000",fusioncars.in
292,2023 TOYOTA FORTUNER LEGENDER 4*2 AUTO,https://fusioncars.in/cars/2022-23-toyota-vellfire-hybrid/,,3850000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Diesel,,2023.0,52000.0,,,,,,"₹38,50,000",fusioncars.in
293,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,https://fusioncars.in/cars/2019-21-mercedes-benz-s-350d/,,9800000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2026.0,5000.0,,,,,,"₹98,00,000",fusioncars.in
294,2023 TOYOTA FORTUNER LEGENDER 4*2 AUTO,https://fusioncars.in/cars/2021-toyota-vellfire-executive-lounge/,,3850000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Diesel,,2023.0,52000.0,,,,,,"₹38,50,000",fusioncars.in
295,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,https://fusioncars.in/cars/2018-mercedes-benz-cla-200-d/,,9800000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2026.0,5000.0,,,,,,"₹98,00,000",fusioncars.in
