Title,Link,Location,Price,Information,Image,Detail,Owner
Land Rover Range Rover,https://www.olx.in/item/cars-c84-used-land-rover-range-rover-in-paschim-vihar-delhi-iid-1833654175?rank=1,Paschim Vihar,"₹ 2,52,00,000","2024 - 14,000 km",https://apollo.olx.in:443/v1/files/nvkdkrehtyrv-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-punjabi-bagh-west-delhi-iid-1832324036?rank=2,Punjabi Bagh West,"₹ 1,48,00,000","2017 - 42,650 km",https://apollo.olx.in:443/v1/files/s5g8rpuz2qqs1-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",2nd
Porsche 718,https://www.olx.in/item/cars-c84-used-porsche-718-in-punjabi-bagh-west-delhi-iid-1834207413?rank=3,Punjabi Bagh West,"₹ 92,50,000","2019 - 11,000 km",https://apollo.olx.in:443/v1/files/mpthqrihgawq2-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Porsche CARRERA,https://www.olx.in/item/cars-c84-used-porsche-carrera-in-vishal-enclave-delhi-iid-1834663388?rank=4,Vishal Enclave,"₹ 2,35,00,000","2023 - 6,000 km",https://apollo.olx.in:443/v1/files/3om6p8ooml8z-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
BMW Z4,https://www.olx.in/item/cars-c84-used-bmw-z4-in-punjabi-bagh-west-delhi-iid-1824854788?rank=5,Punjabi Bagh West,"₹ 94,50,000","2025 - 3,000 km",https://apollo.olx.in:443/v1/files/n2kuw5g310vl-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Mercedes-Benz Maybach S-Class,https://www.olx.in/item/cars-c84-used-mercedes-benz-maybach-s-class-in-punjabi-bagh-west-delhi-iid-1830692441?rank=6,Punjabi Bagh West,"₹ 3,40,00,000",2025 - 800 km,https://apollo.olx.in:443/v1/files/03n8anee1jf7-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
BMW M2,https://www.olx.in/item/cars-c84-used-bmw-m2-in-rajouri-garden-delhi-iid-1829591349?rank=7,Rajouri Garden,"₹ 99,00,000","2024 - 2,500 km",https://apollo.olx.in:443/v1/files/8pilcyqu2r012-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Porsche Macan,https://www.olx.in/item/cars-c84-used-porsche-macan-in-punjabi-bagh-west-delhi-iid-1806991181?rank=8,Punjabi Bagh West,"₹ 83,50,000","2023 - 11,000 km",https://apollo.olx.in:443/v1/files/dnrdduf6pxgv1-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Porsche CARRERA,https://www.olx.in/item/cars-c84-used-porsche-carrera-in-raja-garden-delhi-iid-1802857559?rank=9,Raja Garden,"₹ 2,45,00,000","2023 - 5,000 km",https://apollo.olx.in:443/v1/files/byw3n7e3z52n-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Porsche Macan,https://www.olx.in/item/cars-c84-used-porsche-macan-in-vikaspuri-delhi-iid-1803129149?rank=10,Vikaspuri,"₹ 83,50,000","2023 - 12,000 km",https://apollo.olx.in:443/v1/files/0nura4yr2jxw2-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
